feature_name,importance_gain,importance_split
AccountBalance,408.62231174111366,42
ValueSavings,0.0,0
Age,134.13321197032928,27
Duration,116.82860141992569,25
Mostvaluableavailableasset,62.32247245311737,18
CreditAmount,9.413347095251083,10
Sex&Marital_Status,0.0,0
PaymentStatusofPreviousCredit,0.0,0
Lengthofcurrentemployment,35.38592028617859,8
Purpose,12.339411914348602,6
Instalmentpercent,26.010799765586853,14
ConcurrentCredits,0.0,0
Typeofapartment,0.0,0
NoofCreditatthisBank,0.0,0
Guarantors,0.0,0
Occupation,0.0,0
Noofdependents,0.0,0
DurationinCurrentaddress,0.0,0
